"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 05:10:59 UTC 2026","Wed May 20 05:11:08 UTC 2026","9196","","TC_TPM_008 - Verify View Full Terms and Conditions Here in Thrive Plus Membership Section","","","","should open the page",""
"passed","Wed May 20 05:05:46 UTC 2026","Wed May 20 05:05:48 UTC 2026","2277","","TC_GlobalSearch_009 - VerifyRetry Search in Global Search.","","","","should click on global search glass icon",""
"passed","Wed May 20 05:10:20 UTC 2026","Wed May 20 05:10:29 UTC 2026","9205","","TC_TPM_006 - Verify Contact Us in Thrive Plus Membership","","","","should open the page",""
"passed","Wed May 20 05:05:29 UTC 2026","Wed May 20 05:05:34 UTC 2026","4645","","TC_GlobalSearch_008 -Verify Search is not found in Global Search","","","","should search global search with value ""abcdef"" and verify",""
"passed","Wed May 20 05:11:43 UTC 2026","Wed May 20 05:11:53 UTC 2026","10124","","TC_TPM_010 - Verify Select Clinic To See Pricing in Thrive Plus Membership Section","","","","should open the page",""
"passed","Wed May 20 05:05:03 UTC 2026","Wed May 20 05:05:09 UTC 2026","6117","","TC_GlobalSearch_007 - Verify Search with Services in Global Search.","","","","should click Retry Search",""
"passed","Wed May 20 05:11:28 UTC 2026","Wed May 20 05:11:36 UTC 2026","7600","","TC_TPM_009 - Verify Video in Thrive Plus Membership Section","","","","should verify Love your Pet, Enjoy the Perks on the Thrive Plus Membership page",""
"passed","Wed May 20 05:03:58 UTC 2026","Wed May 20 05:04:00 UTC 2026","2365","","TC_Careers_001 - Verify Careers in header","","","","should click on ""Careers"" in the header and verify if user have a Careers link ",""
"passed","Wed May 20 05:09:31 UTC 2026","Wed May 20 05:09:34 UTC 2026","2745","","TC_TPM_004 -[Non-member] Verify Manage your membership in Thrive Plus Membership","","","","should click membership",""
"passed","Wed May 20 05:08:36 UTC 2026","Wed May 20 05:08:46 UTC 2026","10295","","TC_Services_008 - Verify Search Microchipping is successful","","","","should enter invalid microchip number and verify displayed ""Microchip Not Found""",""
"passed","Wed May 20 05:10:11 UTC 2026","Wed May 20 05:10:14 UTC 2026","3206","","TC_TPM_005 -[Member] Verify Manage your membership in Thrive Plus Membership","","","","should click membership",""
"passed","Wed May 20 05:06:20 UTC 2026","Wed May 20 05:06:22 UTC 2026","2312","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should click on global search glass icon",""
"passed","Wed May 20 05:06:32 UTC 2026","Wed May 20 05:06:36 UTC 2026","3801","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should search global search with value ""duynguyen"" and verify",""
"passed","Wed May 20 05:07:12 UTC 2026","Wed May 20 05:07:13 UTC 2026","1353","","TC_Resources_001_002_003_004 - Verify UI in Resources","","","","should go to Resources Page",""
